speed,sensor,error
-0.35,line,50.05
-0.35,line,74.37
-0.35,line,-156.38
-0.35,line,-266.57
-0.35,line,-294.25
-0.35,line,-290.46
-0.35,line,-300.07
-0.35,line,-297.55
-0.35,line,-202.73
-0.35,line,-144.05
-0.35,line,-107.38
-0.35,line,-85.98
-0.35,line,-75.45
-0.35,line,-72.55
-0.35,line,-75.60 
-0.35,line,-83.58
-0.35,line,-95.85
-0.35,line,-112.04
-0.35,line,-132.03
-0.35,line,-139.55
-0.45,line,75.05
-0.45,line,100
-0.45,line,-150.14
-0.45,line,-271.93
-0.45,line,-195.42
-0.45,line,-236.35
-0.45,line,299.70 
-0.45,line,-229.03
-0.45,line,-206.37
-0.45,line,276.37
-0.45,line,-236.29
-0.45,line,-235.31
-0.45,line,-252.88
-0.45,line,-207.63
-0.45,line,-194.78
-0.45,line,-223.28
-0.45,line,-233.53
-0.45,line,-100.88
-0.45,line,-89.72
-0.45,line,-75.54
-0.55,line,82.15
-0.55,line,120.58
-0.55,line,-66.48
-0.55,line,-213.96
-0.55,line,-368.04
-0.55,line,-337.86
-0.55,line,-323.66
-0.55,line,-430.41
-0.55,line,-442.47
-0.55,line,-438.26
-0.55,line,-355.93
-0.55,line,-349.90 
-0.55,line,-464.55
-0.55,line,-525.02
-0.55,line,-391.36
-0.55,line,-104.90 
-0.55,line,-62.01
-0.55,line,-49.77
-0.55,line,-60.65
-0.55,line,-64.89
-0.65,line,70.26
-0.65,line,86.91
-0.65,line,-91.67
-0.65,line,-331.17
-0.65,line,-485.06
-0.65,line,-483.51
-0.65,line,-366.61
-0.65,line,-479.20 
-0.65,line,-504.95
-0.65,line,-439.22
-0.65,line,-449.11
-0.65,line,-508.35
-0.65,line,-298.34
-0.65,line,-409.19
-0.65,line,-425.71
-0.65,line,-478.67
-0.65,line,-455.66
-0.65,line,-496.84
-0.65,line,-479.96
-0.65,line,-470.29
-0.75,line,90.56
-0.75,line,134.04
-0.75,line,-41.35
-0.75,line,-153.81
-0.75,line,-317.09
-0.75,line,-414.22
-0.75,line,-415.87
-0.75,line,-368.08
-0.75,line,-380.99
-0.75,line,-502.44
-0.75,line,-459.75
-0.75,line,-507.85
-0.75,line,-614.98
-0.75,line,-673.98
-0.75,line,-642.81
-0.75,line,-576.78
-0.75,line,-616.78
-0.75,line,-598.9
-0.75,line,-703.49
-0.75,line,-704.45
-0.35,bump,27.15
-0.35,bump,57.89
-0.35,bump,53.75
-0.35,bump,54.55
-0.35,bump,50.67
-0.35,bump,55.29
-0.35,bump,-198.84
-0.35,bump,-180.27
-0.35,bump,-210.46
-0.35,bump,-198.66
-0.35,bump,-209.68
-0.35,bump,-108.69
-0.35,bump,-81.13
-0.35,bump,-72.08
-0.35,bump,-78.38
-0.35,bump,-80.71
-0.35,bump,-75.40 
-0.35,bump,-54.62
-0.35,bump,-34.62
-0.35,bump,-14.62
-0.45,bump,27.93
-0.45,bump,18.67
-0.45,bump,-43.03
-0.45,bump,-80.52
-0.45,bump,-106.77
-0.45,bump,-177.60 
-0.45,bump,-247.81
-0.45,bump,-309.36
-0.45,bump,-207.52
-0.45,bump,-251.69
-0.45,bump,-234.69
-0.45,bump,-265.96
-0.45,bump,-261.10 
-0.45,bump,-247.83
-0.45,bump,-259.22
-0.45,bump,-157.03
-0.45,bump,-139.92
-0.45,bump,-113.69
-0.45,bump,-98.79
-0.45,bump,-64.38
-0.55,bump,38.34
-0.55,bump,56.86
-0.55,bump,-9.40 
-0.55,bump,-55.78
-0.55,bump,-110.97
-0.55,bump,-261.64
-0.55,bump,-340.27
-0.55,bump,-447.62
-0.55,bump,-237.88
-0.55,bump,-230.26
-0.55,bump,-306.21
-0.55,bump,-315.22
-0.55,bump,-273.52
-0.55,bump,-266.44
-0.55,bump,-272.72
-0.55,bump,-192.71
-0.55,bump,-149.51
-0.55,bump,-91.52
-0.55,bump,-82.34
-0.55,bump,-72.34
-0.65,bump,34.90 
-0.65,bump,73.09
-0.65,bump,-65.50 
-0.65,bump,-277.67
-0.65,bump,-447.58
-0.65,bump,-518.18
-0.65,bump,-441.18
-0.65,bump,-271.45
-0.65,bump,-341.79
-0.65,bump,-326.82
-0.65,bump,-323.78
-0.65,bump,-489.77
-0.65,bump,-689.88
-0.65,bump,-798.98
-0.65,bump,-641.56
-0.65,bump,-441.56
-0.65,bump,-241.56
-0.65,bump,-141.56
-0.65,bump,-71.56
-0.65,bump,-81.56
-0.75,bump,34.90 
-0.75,bump,73.09
-0.75,bump,-65.50 
-0.75,bump,-277.67
-0.75,bump,-447.58
-0.75,bump,-518.18
-0.75,bump,-441.18
-0.75,bump,-471.45
-0.75,bump,-441.79
-0.75,bump,-526.82
-0.75,bump,-523.78
-0.75,bump,-589.88
-0.75,bump,-689.88
-0.75,bump,-798.98
-0.75,bump,-741.56
-0.75,bump,-541.56
-0.75,bump,-241.56
-0.75,bump,-141.56
-0.75,bump,-71.56
-0.75,bump,-81.56



